weight;word
72;better performance
69;information
69;robustness
68;experimental results
63;superior performance
60;promising results
57;parameters
56;output
51;complexity
51;superiority
50;competitive results
48;effectiveness
47;high accuracy
47;competitive performance
45;training time
45;efficiency
44;input
43;structure
42;good performance
41;knowledge
39;gap
39;answer
38;large number
38;best results
37;context
37;translation quality
37;classification accuracy
36;distribution
36;significant improvements
34;question
33;model performance
33;representation
32;size
32;large margin
32;better results
31;prior knowledge
30;labeled data
29;comparable performance
29;difference
29;predictions
28;contextual information
28;unlabeled data
28;similarity
28;distance
27;level
27;image
27;search space
27;comparable results
27;higher accuracy
27;large amounts
26;word embeddings
26;weights
26;representations
26;characteristics
26;correlation
25;uncertainty
25;semantic information
25;best performance
25;test time
25;high performance
24;time
24;input data
24;outputs
24;small number
24;loss function
24;relation
24;relationships
24;new state-of-the-art results
23;differences
23;meaning
23;properties
23;constraints
23;relations
23;limitations
23;real-time
22;promising performance
22;word
22;performances
22;state of the art results
22;computational cost
22;labels
21;improved performance
21;strong baselines
21;state - of - the - art performance
21;noise
21;generalization ability
21;recognition accuracy
20;diversity
20;visual features
20;cost
20;difficulty
20;baselines
20;classification performance
20;F1 score
20;content
20;model parameters
20;robust
19;inference time
19;metrics
19;bias
